sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Create User Etidorhpa - POST /users,10,37,6,289,84.00809484805616,0.0,1.109139307897072,0.444088980700976,410.0
Create UserC - POST /users,10,8,5,22,4.728636167014756,0.0,1.1090163025396473,0.44945484917378287,415.0
Create User Soremih - POST /users,10,7,4,21,4.673328578219168,0.0,1.1450818733539447,0.45736180293140954,409.0
Create UserD - POST /users,10,6,5,17,3.4985711369071804,0.0,1.109139307897072,0.4495046999778172,415.0
Create a new ChatRoom - POST /chatrooms,10,13,10,19,2.8705400188814663,0.0,1.1439029970258523,1.2310362331274307,1102.0
Create New ChatMessage in ChatRoom - POST /chatrooms/{chatroomID}/chatmessages,10,9,6,27,5.969924622639718,0.0,1.1453441759248653,1.1967951838277402,1070.0
Create ChatRoomB - POST /chatrooms,10,12,11,15,1.1135528725659958,0.0,1.1102475852115021,1.2067437132230487,1113.0
POST /v2/chatrooms ,2579,5598,30,35205,3584.174801914571,0.6161302830554478,1.3113243715151262,14.659236366154408,11447.250096936797
Retrieve Sample Notifications to process,1077,4059,13,44303,3123.2232653607452,0.5134633240482822,0.5480829564520866,0.30366042491823286,567.3379758588673
Identify Delta - GET /URI of resource changed,1073,2465,3,21861,2509.2757574471966,0.6728797763280522,0.546887304008689,0.3734873873796963,699.3233923578752
Set the read receipt - GET /URI of resource changed,1069,2738,6,45308,2767.1579188691503,0.706267539756782,0.5456860176763475,0.4137395477710079,776.3975678203929
TOTAL,5868,4155,3,45308,3463.0466029589747,0.6167348329925018,2.97099783605236,15.704930926705261,5412.945466939332
